CODIGO;UBICACIÓN;PARADA TURISTICA
FT61;Ave Fray Vicente Solano & Tadeo Torres;Colegio Benigno Malo
FT61F;Ave Fray Vicente Solano & Tadeo Torres;Colegio Benigno Malo
LG62;Calle Larga & General Torres;Mercado 10 De Agosto
LM63;Calle Larga & Manuel Vega;NULL
GG64; Avenue Gonzales Suarez & Garcia Moreno;NULL
GG64F; Avenue Gonzales Suarez & Garcia Moreno;NULL
GO65; Avenue Gonzales Suarez & Octavio Diaz;Cementerio Municipal
GO65F; Avenue Gonzales Suarez & Octavio Diaz;Cementerio Municipal
TP66; Yanahurco & Paseo De los Caniaris;Totoracocha
TP66F; Yanahurco & Paseo De los Caniaris;Totoracocha
YN67; Yanahurco & Narrio;Totoracocha
YN67F; Yanahurco & Narrio;Totoracocha
YA68; Yanahurco & Ave Los Andes;Totoracocha
YA68F; Yanahurco & Ave Los Andes;Totoracocha
AC69; Ave Los Andes & Del Condor;Complejo de Totoracocha
AC70;Avenue Gil Ramirez Davalos & Del Chorro;Terminal
AM71;Antonio Vega Munioz & Manuel Vega;NULL
AH72;Antonio Vega Munioz & Hermano Miguel;NULL
AP73;Antonio Vega Munioz & Padre Aguirre;Maria Auxiliadora
AD74;Antonio Vega Munioz & Daniel Alvarado;NULL
AA75;Avenida de las Americas & Alfonso Andrade;NULL
AA75F;Avenida de las Americas & Alfonso Andrade;NULL
AL76;Avenida de las Americas & Luis Moscoso;NULL
AL76F;Avenida de las Americas & Luis Moscoso;NULL
AB77;Avenida de las Americas & Av Don Bosco;Indurama
AB77F;Avenida de las Americas & Av Don Bosco;Indurama
AC78;Avenida de las Americas & Camino Viejo a Banios;NULL
AC78F;Avenida de las Americas & Camino Viejo a Banios;NULL
AM79;Avenida de las Americas & Manuel Quiroga;NULL
AM79F;Avenida de las Americas & Manuel Quiroga;NULL
AJ80;Avenida de las Americas & Jose Vinueza;Coralcentro
AJ80F;Avenida de las Americas & Jose Vinueza;Coralcentro
PC81;Av Primero de Mayo & Carmela Malo ;Misicata
VR82;Venezuela & Remigio Crespo;NULL
HospReg83;Hospital Vicente Corral Moscoso;Hospital Regional
HP84;Huayna-Capac &  Pizar-Capac;NULL
HP84F;Huayna-Capac &  Pizar-Capac;NULL
NH85;Nunez de Bonilla & Av. Hurtado de Mendoza;NULL
